ITZ_GEOID,pop_density,percent_non_hispanic_or_latino_white_alone,percent_non_hispanic_black_alone,percent_hispanic_any_race,percent_non_hispanic_asian_alone,median_age,per_capita_income,resid_unit_density,percent_multi_family_units,percent_occupied_housing_units,median_gross_rent,median_home_value,percent_households_with_people_under_18,percent_of_households_in_same_house_year_ago,percent_bachelor_degree_or_higher,percent_car_commuters,percent_public_transport_commuters,percent_public_transport_trips_under_45_min,percent_car_trips_under_45_min
SI177,18158.431716110226,81.6,0.1,4.0,12.7,47.7,63788.0,7481.286007055275,19.200000000000003,86.2,1473.0,741200.0,34.1,91.4,46.8,68.86354034643009,25.77101816645543,3.721311475409836,6.920245398773007
SI187.01,52823.95858450794,61.3,2.2,20.9,10.9,40.9,38200.0,19393.214250875913,29.799999999999997,94.8,1587.0,504100.0,39.6,95.3,32.8,57.83582089552239,30.34825870646766,4.877049180327869,23.655913978494624
SI187.02,84168.84392560698,60.3,4.3,10.4,22.9,44.9,34796.0,25556.74095790734,34.3,96.7,1371.0,558900.0,36.5,92.2,35.5,65.87460635556828,22.67391926710564,1.5909090909090913,5.089091699261191
SI189.01,50100.365286924,67.0,0.4,15.7,15.7,45.0,35172.0,20378.970020803376,20.4,89.5,1167.0,565800.0,25.3,90.1,26.7,70.48841059602648,25.289735099337747,2.454991816693944,8.408690546095126
SI189.02,74595.87101797371,57.6,1.6,12.1,24.8,35.0,35814.0,25289.951911253444,37.300000000000004,93.0,1578.0,564900.0,44.0,95.4,48.2,68.84422110552764,26.256281407035175,1.770334928229665,6.843065693430657
SI197,62936.1491402006,85.3,0.3,4.7,6.4,44.8,48724.0,25712.37546069734,22.599999999999998,95.7,1239.0,545800.0,29.4,93.4,39.4,73.30827067669173,20.426065162907268,0.0,25.82905982905983
SI201,60384.38321184833,48.2,9.5,29.3,11.2,37.6,41568.0,22327.142827763444,43.5,92.9,1481.0,455700.0,42.6,94.9,32.9,66.12903225806451,28.85304659498208,4.285714285714286,12.755194218608855
SI207,61831.0530069929,8.5,37.0,52.2,1.6,31.2,17265.0,24894.335580556883,67.2,82.7,1184.0,363200.0,32.2,95.1,12.1,47.082699137493655,32.1664129883308,5.3627760252365935,13.620689655172415
SI303.02,79076.64743212626,29.6,15.1,40.0,11.9,33.1,27002.0,25603.74887014533,35.6,91.3,1945.0,346700.0,45.1,93.3,30.1,72.42974030594095,25.898256848096764,2.870879120879121,5.225933202357564
SI208.01,35235.98877384811,84.9,0.2,9.8,4.6,40.5,44007.0,13749.416188995097,26.0,97.4,1604.0,461000.0,33.7,92.2,28.3,68.63647372245096,27.51271494308549,0.3961267605633803,5.010585744530698
SI170.08,80542.36032416199,89.5,0.0,6.7,3.3,38.5,39571.0,27815.270557106356,18.6,93.8,1381.0,541200.0,39.2,95.3,39.6,78.91077636152954,17.555040556199305,0.429042904290429,4.933920704845815
SI208.03,37854.51987448751,88.7,0.0,7.0,3.7,39.8,43423.0,12729.293907123425,31.700000000000003,98.3,1083.0,630900.0,41.2,97.2,42.1,73.84919514261507,24.00451849759955,0.0,3.632887189292543
SI213,64220.2565460196,34.1,14.3,45.7,5.1,36.6,27510.0,23885.380612394816,51.300000000000004,85.6,1605.0,374500.0,39.0,93.7,32.7,57.98146240988672,33.36766220391349,4.614197530864198,15.550621669627002
SI223,38130.34069719168,16.0,36.9,41.9,3.2,28.1,22879.0,14057.524512042979,36.599999999999994,82.7,1280.0,339100.0,50.5,84.2,24.2,61.032863849765256,36.431924882629104,8.8659793814433,22.661538461538463
SI226,10835.424752464165,86.5,0.5,11.2,1.8,38.0,45137.0,3907.727192388501,23.799999999999997,93.1,1425.0,541500.0,41.3,95.6,39.4,78.4769038701623,18.60174781523096,1.74496644295302,4.311167674196628
