ITZ_GEOID,orig_pop_density,orig_percent_non_hispanic_or_latino_white_alone,orig_percent_non_hispanic_black_alone,orig_percent_hispanic_any_race,orig_percent_non_hispanic_asian_alone,orig_median_age,orig_per_capita_income,orig_resid_unit_density,orig_percent_multi_family_units,orig_percent_occupied_housing_units,orig_median_gross_rent,orig_median_home_value,orig_percent_households_with_people_under_18,orig_percent_of_households_in_same_house_year_ago,orig_percent_bachelor_degree_or_higher,orig_percent_car_commuters,orig_percent_public_transport_commuters,orig_percent_public_transport_trips_under_45_min,orig_percent_car_trips_under_45_min
QN646,76898.24779773751,1.2,96.7,3.1,0.0,43.2,30740.0,26407.87932713405,28.700000000000006,92.9,1356.0,469000.0,36.5,93.5,22.3,51.23076923076923,46.61538461538461,1.155115511551155,14.504504504504505
QN650,75345.65134550049,0.0,98.5,0.8,0.0,40.5,31270.0,24855.188091125474,32.4,96.6,949.0,432700.0,32.1,96.2,31.5,59.110169491525426,38.70056497175141,2.2262773722627736,17.479091995221026
QN654,49082.02083697513,14.1,69.1,8.2,11.5,37.8,27740.0,14947.853412447272,38.7,95.6,1333.0,448000.0,44.6,88.3,30.1,60.809968847352025,33.95638629283489,4.385321100917431,16.53688524590164
QN655.01,0.0,,,,,,,0.0,,,,,,,,,,,
QN656,92548.8854147861,7.2,87.0,1.7,3.8,33.8,27616.0,27207.006485296213,49.4,93.7,1801.0,452000.0,51.6,89.3,26.7,56.61103979460847,36.71373555840822,1.6433566433566433,10.241874527588813
QN657.02,104228.85473495351,90.6,2.6,10.7,0.4,45.8,32262.0,54228.67815747404,79.69999999999999,90.4,1176.0,573500.0,17.4,98.3,21.4,59.48275862068966,39.6551724137931,12.869565217391305,49.21739130434783
QN659,89149.92067983703,92.2,7.8,7.6,0.0,46.2,38260.0,41137.58777639246,34.6,95.0,1071.0,463600.0,16.9,94.7,30.7,56.59679408138101,40.6905055487053,3.303030303030303,38.8888888888889
QN660,98545.20990918088,15.6,79.0,14.2,2.6,30.7,26481.0,28763.19578567462,47.9,98.9,1774.0,466800.0,47.4,88.1,23.8,58.49710982658959,30.057803468208093,2.173076923076923,12.34189723320158
QN661,107273.45424405593,92.1,3.9,14.4,2.3,40.0,38334.0,55291.43427929143,68.8,83.9,1348.0,601500.0,16.2,98.3,32.3,53.5924617196702,45.936395759717314,6.512820512820513,37.42857142857143
QN663,52142.40386333701,89.2,0.0,8.3,8.0,43.4,30287.0,20053.193463760752,22.700000000000003,96.3,1169.0,573000.0,26.5,92.9,36.3,63.30275229357798,34.03669724770642,6.684636118598384,22.594202898550723
